,wine,wine_id,appellation,color,regions,country,vintage,is_primeurs,score,confidence_index,journalist_count,avgPrcpFebruary,avgTempFebruary,avgPrcpMarch,avgTempMarch,avgPrcpApril,avgTempApril,avgPrcpMay,avgTempMay,avgPrcpJune,avgTempJune,avgPrcpJuly,avgTempJuly,avgPrcpAugust,avgTempAugust,avgPrcpSeptember,avgTempSeptember,avgPrcpOctober,avgTempOctober
0,"Ridge Vineyards, Monte Bello, Santa Cruz Mountains",120786,Santa Cruz Mountains,Red,California,Usa,2013,False,95.83,C+,8,0.019852941176470587,51,0.05770491803278705,57,0.05148148148148137,60,0.0005797101449275362,62,0.006557377049180332,64,0.0009944751381215477,65,0.0,67,0.010784313725490192,66,0.002524271844660196,60
1,"Quintessa, Rutherford",118360,Rutherford,Red,California,Usa,2015,False,95.77,C,3,0.17696969696969636,56,0.0036529680365296846,57,0.10166077738515908,57,0.0,60,0.010967741935483869,65,0.00037735849056603793,69,0.0,69,0.0072103004291845406,68,0.0,65
2,"Harlan Estate, Napa Valley",81980,Napa Valley,Red,California,Usa,2001,False,98.89,A+,6,0.2592857142857143,47,0.03483870967741936,54,0.015333333333333338,52,0.0,63,0.008666666666666666,66,0.0,65,0.0,66,0.017241379310344827,63,0.01645161290322581,62
3,"Dalla Valle Vineyards, Maya, Napa Valley",48290,Napa Valley,Red,California,Usa,2001,False,96.49,B+,5,0.2592857142857143,47,0.03483870967741936,54,0.015333333333333338,52,0.0,63,0.008666666666666666,66,0.0,65,0.0,66,0.017241379310344827,63,0.01645161290322581,62
4,"Philip Togni Vineyard, Cabernet Sauvignon, Napa Valley",115154,Napa Valley,Red,California,Usa,2001,False,96.2,B,3,0.2592857142857143,47,0.03483870967741936,54,0.015333333333333338,52,0.0,63,0.008666666666666666,66,0.0,65,0.0,66,0.017241379310344827,63,0.01645161290322581,62
5,"Colgin Cellars, Cariad Red, Napa Valley",44618,Napa Valley,Red,California,Usa,2001,False,95.6,B,5,0.2592857142857143,47,0.03483870967741936,54,0.015333333333333338,52,0.0,63,0.008666666666666666,66,0.0,65,0.0,66,0.017241379310344827,63,0.01645161290322581,62
6,"Sloan, Proprietary Red, Rutherford",128313,Rutherford,Red,California,Usa,2001,False,95.19,C+,3,0.2592857142857143,47,0.03483870967741936,54,0.015333333333333338,52,0.0,63,0.008666666666666666,66,0.0,65,0.0,66,0.017241379310344827,63,0.01645161290322581,62
7,"Shafer Vineyards, Hillside Select Cabernet Sauvignon, Stags Leap District",126746,Stags Leap District,Red,California,Usa,2001,False,93.69,C,6,0.2592857142857143,47,0.03483870967741936,54,0.015333333333333338,52,0.0,63,0.008666666666666666,66,0.0,65,0.0,66,0.017241379310344827,63,0.01645161290322581,62
8,"Dalla Valle Vineyards, Cabernet Sauvignon, Napa Valley",48287,Napa Valley,Red,California,Usa,2001,False,93.66,B+,5,0.2592857142857143,47,0.03483870967741936,54,0.015333333333333338,52,0.0,63,0.008666666666666666,66,0.0,65,0.0,66,0.017241379310344827,63,0.01645161290322581,62
9,"Dominus Estate, Christian Moueix, Napa Valley",67008,Napa Valley,Red,California,Usa,2001,False,93.6,B,10,0.2592857142857143,47,0.03483870967741936,54,0.015333333333333338,52,0.0,63,0.008666666666666666,66,0.0,65,0.0,66,0.017241379310344827,63,0.01645161290322581,62
