,appellation
Napa Valley,2388
Walla Walla Valley,271
Columbia Valley,230
Russian River Valley,216
Oakville,208
Carneros,199
Howell Mountain,165
Sonoma County,149
Rutherford,135
Sonoma Coast,128
Stags Leap District,122
St Helena,94
Knights Valley,94
Santa Cruz Mountains,72
Yakima Valley,69
Red Mountain,60
California,45
Dundee Hills,45
Willamette Valley,41
Horse Heaven Hills,41
Eola-Amity Hills,38
Alexander Valley,32
Spring Mountain District,31
Dry Creek Valley,29
Sonoma Mountain,29
Yountville,24
Mount Veeder,23
Napa County,17
Diamond Mountain District,17
Santa Lucia Highlands,16
Paso Robles,13
Green Valley,13
Oak Knoll District,11
Coombsville,9
Los Carneros,8
Santa Ynez Valley,7
Oregon,7
Washington,6
Atlas Peak,6
Chalk Hill,6
Sonoma Valley,4
Amador County,4
Calistoga,4
Ribbon Ridge,3
Anderson Valley,2
Mendocino Ridge,2
Sierra Foothills,2
Sta Rita Hills,2
Bennett Valley,2
Snipes Mountain,1
Monterey,1
North Coast,1
Chehalem Mountains,1
Monticello,1
Santa Maria Valley,1
Mount Harlan,1
San Luis Obispo County,1
Mendocino County,1
