appellation,count,app_lat,app_lon
Alexander Valley,32,38.6130,-122.7694
Amador County,4,38.3489,-120.7741
Anderson Valley,2,40.4482,-122.2978
Atlas Peak,6,38.3195,-122.2559
Bennett Valley,2,38.4405,-122.6767
California,45,,
Calistoga,4,38.5788,-122.5797
Carneros,199,38.2554,-122.3325
Chalk Hill,6,38.6038,-122.7772
Chehalem Mountains,1,45.3762,-123.0373
Columbia Valley,230,47.1211,-119.2883
Coombsville,9,38.305,-122.2444
Diamond Mountain District,17,38.5506,-122.5396
Dry Creek Valley,29,38.6999,-122.9666
Dundee Hills,45,45.2762,-123.0125
Eola-Amity Hills,38,45.056,-123.116
Green Valley,13,38.42,-122.9
Horse Heaven Hills,41,46.1332,-119.8678
Howell Mountain,165,38.5765,-122.4584
Knights Valley,94,38.6333,-122.6833
Los Carneros,8,38.2647,-122.3422
Mendocino County,1,39.5500,-123.4384
Mendocino Ridge,2,39.1345,-123.6456
Monterey,1,36.4334,-121.327
Monticello,1,,
Mount Harlan,1,36.7363,-121.3695
Mount Veeder,23,38.3794,-122.4478
Napa County,17,38.5025,-122.2654
Napa Valley,2388,38.5025,-122.2654
North Coast,1,,
Oak Knoll District,11,38.3583,-122.3339
Oakville,208,38.4367,-122.4028
Oregon,7,,
Paso Robles,13,35.6369,-120.6545
Red Mountain,60,46.2979,-119.4409
Ribbon Ridge,3,45.3594,-123.0944
Russian River Valley,216,38.4836,-122.8175
Rutherford,135,38.4591,-122.4226
San Luis Obispo County,1,35.2828,-120.6596
Santa Cruz Mountains,72,37.1109,-121.8449
Santa Lucia Highlands,16,36.4469,-121.4848
Santa Maria Valley,1,34.8123,-120.3481
Santa Ynez Valley,7,34.5842,-120.0974
Sierra Foothills,2,38.0902,-120.4736
Snipes Mountain,1,46.3285,-120.008
Sonoma Coast,128,38.3641,-122.9755
Sonoma County,149,38.5780,-122.9888
Sonoma Mountain,29,38.3230,-122.575
Sonoma Valley,4,38.3669,-122.4975
Spring Mountain District,31,38.5325,-122.5494
St Helena,94,38.5052,-122.4704
Sta Rita Hills,2,34.6660,-120.1152
Stags Leap District,122,38.4141,-122.3213
Walla Walla Valley,271,46,118.5
Washington,6,,
Willamette Valley,41,44.9426,-122.9338
Yakima Valley,69,46.3289,-120.0086
Yountville,24,38.4016,-122.3608
