,appellation,bdod_0-100cm,bdod_0-5cm,bdod_5-15cm,bdod_15-30cm,bdod_30-60cm,bdod_60-100cm,bdod_100-200cm,cec_0-100cm,cec_0-5cm,cec_5-15cm,cec_15-30cm,cec_30-60cm,cec_60-100cm,cec_100-200cm,cfvo_0-100cm,cfvo_0-5cm,cfvo_5-15cm,cfvo_15-30cm,cfvo_30-60cm,cfvo_60-100cm,cfvo_100-200cm,clay_0-100cm,clay_0-5cm,clay_5-15cm,clay_15-30cm,clay_30-60cm,clay_60-100cm,clay_100-200cm,nitrogen_0-100cm,nitrogen_0-5cm,nitrogen_5-15cm,nitrogen_15-30cm,nitrogen_30-60cm,nitrogen_60-100cm,nitrogen_100-200cm,ocd_0-100cm,ocd_0-5cm,ocd_5-15cm,ocd_15-30cm,ocd_30-60cm,ocd_60-100cm,ocd_100-200cm,ocs_0-30cm,phh2o_0-100cm,phh2o_0-5cm,phh2o_5-15cm,phh2o_15-30cm,phh2o_30-60cm,phh2o_60-100cm,phh2o_100-200cm,sand_0-100cm,sand_0-5cm,sand_5-15cm,sand_15-30cm,sand_30-60cm,sand_60-100cm,sand_100-200cm,silt_0-100cm,silt_0-5cm,silt_5-15cm,silt_15-30cm,silt_30-60cm,silt_60-100cm,silt_100-200cm,soc_0-100cm,soc_0-5cm,soc_5-15cm,soc_15-30cm,soc_30-60cm,soc_60-100cm,soc_100-200cm
0,Alexander Valley,156.5,140,150,150,160,160,160,223.95,262,245,225,218,218,235,75.25,75,120,70,70,70,80,222.75,186,209,195,223,241,236,68.45,216,140,83,56,36,32,121.1,355,252,179,87,63,37,40,5.902059991327963,6.0,6.0,6.0,6.0,6.300000000000001,6.300000000000001,328.25,360,356,349,333,306,313,368.4,400,393,390,374,346,313,74.65,238,179,93,51,39,21
1,Amador County,158.4,136,137,142,162,170,170,158.05,170,143,143,154,169,187,51.5,60,80,50,50,45,40,181.8,158,148,176,189,190,159,60.6,290,120,70,40,29,25,99.25,354,193,145,75,45,28,40,5.6020599913279625,6.0,6.0,6.0,6.0,6.0,6.1000000000000005,431.35,437,432,424,417,444,477,358.8,385,393,375,360,340,336,74.9,309,161,101,50,33,19
2,Anderson Valley,156.35,149,150,150,158,160,160,185.89999999999998,208,190,186,178,188,194,33.9,30,60,36,30,30,30,263.4,202,203,256,274,281,238,65.5,192,110,70,56,44,27,112.6,344,216,172,84,57,32,36,5.802059991327963,6.1000000000000005,6.2,6.1000000000000005,6.2,6.2,6.2,395.45000000000005,433,438,414,389,378,393,307.65,321,318,306,309,303,332,65.0,228,140,80,52,30,14
3,Atlas Peak,159.65,152,162,161,159,160,160,204.15,190,186,189,195,223,225,42.6,52,60,40,40,40,42,239.1,218,206,208,228,270,227,70.8,224,116,88,60,42,36,109.25,309,188,150,91,63,38,34,6.402059991327963,6.4,6.4,6.4,6.6000000000000005,6.800000000000001,7.0,276.7,281,290,289,277,268,331,406.8,422,422,414,410,396,370,68.6,223,132,105,55,30,16
4,Bennett Valley,147.85,136,140,147,150,150,154,224.6,214,195,200,208,255,276,64.4,62,70,62,70,60,68,236.70000000000002,202,200,210,241,257,220,72.4,226,128,74,60,48,36,111.3,315,197,159,92,61,30,37,5.802059991327963,6.1000000000000005,6.1000000000000005,6.1000000000000005,6.2,6.2,6.300000000000001,273.8,305,299,301,265,260,273,356.0,397,397,389,363,323,334,73.1,281,167,81,54,35,15
5,Calistoga,143.95,140,148,147,143,143,143,250.0,250,250,250,250,250,234,22.25,25,40,20,20,20,20,196.1,183,185,197,199,198,194,83.3,216,138,96,73,56,40,124.10000000000001,348,225,160,94,80,37,36,5.6020599913279625,6.0,6.0,6.0,6.0,6.0,6.0,423.9,455,439,429,407,427,431,299.5,333,335,319,297,281,275,82.1,269,155,91,65,50,24
6,Carneros,160.4,155,162,163,160,160,161,215.4,208,194,196,210,233,233,30.15,30,39,25,30,30,25,216.10000000000002,209,200,209,209,229,219,60.15,173,110,74,50,36,36,117.25,349,214,172,90,64,38,36,5.802059991327963,5.9,5.9,6.0,6.0,6.2,6.4,317.75,307,314,318,323,316,340,408.6,399,408,405,409,411,401,57.900000000000006,199,117,77,49,25,13
7,Chalk Hill,156.5,140,150,150,160,160,160,227.95,261,248,236,225,218,218,68.0,70,90,70,70,60,70,241.7,189,208,211,246,265,272,69.30000000000001,214,154,80,56,36,29,115.9,367,235,169,81,61,37,41,5.402059991327963,6.0,5.800000000000001,5.800000000000001,5.800000000000001,5.800000000000001,5.800000000000001,369.45000000000005,382,378,379,375,358,345,347.15000000000003,389,390,384,345,319,293,78.15,271,188,112,50,35,23
8,Chehalem Mountains,138.4,116,119,126,138,151,151,181.05,267,232,174,172,167,174,49.15,42,50,45,51,50,30,256.4,229,229,239,258,272,296,135.3,827,218,125,102,57,52,142.14999999999998,375,339,256,97,55,37,68,5.502059991327963,5.9,5.9,5.9,5.9,5.9,5.7,154.5,159,159,157,153,153,185,588.05,602,605,599,584,581,520,141.25,470,343,173,113,59,37
9,Columbia Valley,142.95,127,138,140,146,145,144,142.0,138,140,136,141,146,138,35.5,30,30,30,35,40,40,55.050000000000004,54,54,57,56,54,37,43.8,82,55,50,41,36,29,69.5,136,117,90,61,48,32,23,7.902059991327963,7.5,7.6000000000000005,7.5,8.1,8.3,8.4,557.7,533,539,547,553,573,557,338.3,371,369,363,356,304,286,56.25,171,110,74,48,28,21
10,Coombsville,162.05,155,163,164,162,162,162,199.55,185,172,172,191,225,228,61.5,70,70,60,60,60,70,242.8,232,221,220,235,264,227,65.05,185,120,86,55,36,35,117.35000000000001,351,214,166,97,61,37,36,6.1020599913279625,6.0,6.0,6.0,6.2,6.5,6.5,279.9,273,285,287,285,273,318,394.8,383,393,413,396,389,369,69.14999999999999,223,137,102,54,32,13
11,Diamond Mountain District,142.2,120,126,136,144,150,150,222.20000000000002,224,226,220,222,222,224,65.0,60,75,50,50,80,115,231.25,193,198,232,234,242,244,71.05000000000001,242,121,75,60,44,36,102.75,352,225,155,74,43,28,49,5.402059991327963,6.0,6.0,5.9,5.800000000000001,5.800000000000001,5.800000000000001,332.3,377,367,341,328,318,329,358.6,388,395,372,361,339,310,80.95,371,200,98,51,31,18
12,Dry Creek Valley,156.2,140,150,150,159,160,160,284.3,287,298,277,262,300,301,64.5,70,100,60,60,60,60,260.25,232,212,231,248,296,351,70.75,213,160,84,57,36,26,116.5,365,256,173,81,56,37,48,5.6020599913279625,6.0,6.0,6.0,6.0,6.0,6.1000000000000005,297.20000000000005,314,343,318,297,276,244,410.35,424,413,415,424,396,322,82.1,272,211,114,53,36,24
