,appellation,bdod_0-5cm,bdod_5-15cm,bdod_15-30cm,bdod_30-60cm,bdod_60-100cm,bdod_100-200cm,cec_0-5cm,cec_5-15cm,cec_15-30cm,cec_30-60cm,cec_60-100cm,cec_100-200cm,cfvo_0-5cm,cfvo_5-15cm,cfvo_15-30cm,cfvo_30-60cm,cfvo_60-100cm,cfvo_100-200cm,clay_0-5cm,clay_5-15cm,clay_15-30cm,clay_30-60cm,clay_60-100cm,clay_100-200cm,nitrogen_0-5cm,nitrogen_5-15cm,nitrogen_15-30cm,nitrogen_30-60cm,nitrogen_60-100cm,nitrogen_100-200cm,ocd_0-5cm,ocd_5-15cm,ocd_15-30cm,ocd_30-60cm,ocd_60-100cm,ocd_100-200cm,ocs_0-30cm,phh2o_0-5cm,phh2o_5-15cm,phh2o_15-30cm,phh2o_30-60cm,phh2o_60-100cm,phh2o_100-200cm,sand_0-5cm,sand_5-15cm,sand_15-30cm,sand_30-60cm,sand_60-100cm,sand_100-200cm,silt_0-5cm,silt_5-15cm,silt_15-30cm,silt_30-60cm,silt_60-100cm,silt_100-200cm,soc_0-5cm,soc_5-15cm,soc_15-30cm,soc_30-60cm,soc_60-100cm,soc_100-200cm
0,Alexander Valley,140,150,150,160,160,160,262,245,225,218,218,235,75,120,70,70,70,80,186,209,195,223,241,236,216,140,83,56,36,32,355,252,179,87,63,37,40,60,60,60,60,63,63,360,356,349,333,306,313,400,393,390,374,346,313,238,179,93,51,39,21
1,Amador County,136,137,142,162,170,170,170,143,143,154,169,187,60,80,50,50,45,40,158,148,176,189,190,159,290,120,70,40,29,25,354,193,145,75,45,28,40,60,60,60,60,60,61,437,432,424,417,444,477,385,393,375,360,340,336,309,161,101,50,33,19
2,Anderson Valley,149,150,150,158,160,160,208,190,186,178,188,194,30,60,36,30,30,30,202,203,256,274,281,238,192,110,70,56,44,27,344,216,172,84,57,32,36,61,62,61,62,62,62,433,438,414,389,378,393,321,318,306,309,303,332,228,140,80,52,30,14
3,Atlas Peak,152,162,161,159,160,160,190,186,189,195,223,225,52,60,40,40,40,42,218,206,208,228,270,227,224,116,88,60,42,36,309,188,150,91,63,38,34,64,64,64,66,68,70,281,290,289,277,268,331,422,422,414,410,396,370,223,132,105,55,30,16
4,Bennett Valley,136,140,147,150,150,154,214,195,200,208,255,276,62,70,62,70,60,68,202,200,210,241,257,220,226,128,74,60,48,36,315,197,159,92,61,30,37,61,61,61,62,62,63,305,299,301,265,260,273,397,397,389,363,323,334,281,167,81,54,35,15
5,Calistoga,140,148,147,143,143,143,250,250,250,250,250,234,25,40,20,20,20,20,183,185,197,199,198,194,216,138,96,73,56,40,348,225,160,94,80,37,36,60,60,60,60,60,60,455,439,429,407,427,431,333,335,319,297,281,275,269,155,91,65,50,24
6,Carneros,155,162,163,160,160,161,208,194,196,210,233,233,30,39,25,30,30,25,209,200,209,209,229,219,173,110,74,50,36,36,349,214,172,90,64,38,36,59,59,60,60,62,64,307,314,318,323,316,340,399,408,405,409,411,401,199,117,77,49,25,13
7,Chalk Hill,140,150,150,160,160,160,261,248,236,225,218,218,70,90,70,70,60,70,189,208,211,246,265,272,214,154,80,56,36,29,367,235,169,81,61,37,41,60,58,58,58,58,58,382,378,379,375,358,345,389,390,384,345,319,293,271,188,112,50,35,23
8,Chehalem Mountains,116,119,126,138,151,151,267,232,174,172,167,174,42,50,45,51,50,30,229,229,239,258,272,296,827,218,125,102,57,52,375,339,256,97,55,37,68,59,59,59,59,59,57,159,159,157,153,153,185,602,605,599,584,581,520,470,343,173,113,59,37
9,Columbia Valley,127,138,140,146,145,144,138,140,136,141,146,138,30,30,30,35,40,40,54,54,57,56,54,37,82,55,50,41,36,29,136,117,90,61,48,32,23,75,76,75,81,83,84,533,539,547,553,573,557,371,369,363,356,304,286,171,110,74,48,28,21
