,name
0,Abreu Vineyard
1,Alpha Omega
2,Andrew Will Winery
3,Araujo Estate
4,Barnett Vineyards
5,Beaulieu Vineyard Bv
6,Beringer Vineyards
7,Betz Family Winery
8,Bond Estates
9,Bryant Family Vineyard
10,Cakebread Cellars
11,Carter Cellars
12,Caymus Vineyards
13,Cayuse Vineyards
14,Chappellet
15,Chateau Montelena The Montelena Estate
16,Cliff Lede Vineyards
17,Colgin Cellars
18,Corison
19,Dalla Valle Vineyards
20,Delille Cellars
21,Diamond Creek
22,Domaine Serene
23,Dominus Estate
24,Duckhorn Vineyards
25,Duckhorn Vineyards Estate
26,Dunn Vineyards
27,Etude
28,Favia
29,Flora Springs
30,Forman Vineyard
31,Freemark Abbey
32,Gramercy Cellars
33,Grgich Hills Estate
34,Harlan Estate
35,Hundred Acre
36,Joseph Phelps Vineyards
37,Kapcsandy Family Winery
38,Kistler Vineyards
39,Kongsgaard
40,L'Ecole No. 41
41,La Jota Vineyard
42,Larkmead Vineyards
43,Leonetti Cellar
44,Lokoya Winery
45,Long Shadows
46,Marcassin
47,Martinelli
48,Mayacamas Vineyards
49,Nickel & Nickel
50,Opus One
51,Outpost
52,Pahlmeyer
53,Paul Hobbs
54,Pepper Bridge Winery
55,Peter Michael Winery
56,Philip Togni Vineyard
57,Pine Ridge Vineyards
58,Plumpjack Winery
59,Quilceda Creek
60,Ramey Wine Cellars
61,Realm Cellars
62,Ridge Vineyards
63,Robert Craig Winery
64,Robert Foley Vineyards
65,Robert Mondavi Winery
66,Saintsbury
67,Schrader Cellars
68,Screaming Eagle
69,Shafer Vineyards
70,Spottswoode
71,Stag's Leap Wine Cellars
72,Verite
73,Other
